Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
26.623,16.936,13.109,0.77198
26.902,16.223,12.495,0.76875
27.085,15.686,12.044,0.76649
27.448,14.871,11.387,0.76409
27.583,14.531,11.111,0.76308
27.875,13.885,10.548,0.75811
28.087,13.449,10.179,0.75562
28.369,12.848,9.7238,0.75517
28.522,12.515,9.4518,0.75365
28.835,11.93,8.963,0.74959
29.105,11.421,8.5291,0.74519
29.227,11.212,8.3603,0.74401
29.686,10.471,7.7717,0.7406
29.737,10.391,7.706,0.73992
30.036,9.901,7.2928,0.73481
30.31,9.5159,6.9747,0.73073
30.593,9.1234,6.6554,0.7272
30.901,8.7078,6.3113,0.72269
31.144,8.4209,6.0792,0.71939
31.332,8.1494,5.8589,0.71681
31.673,7.7559,5.5392,0.71238
31.842,7.5762,5.3949,0.71047
32.221,7.1901,5.0762,0.70407
32.498,6.9135,4.8553,0.70021
32.786,6.6372,4.6285,0.69569
32.88,6.5471,4.5558,0.69444
33.311,6.155,4.257,0.69007
33.531,5.9831,4.1243,0.68784
33.768,5.8006,3.9818,0.68506
34.154,5.5144,3.7612,0.68069
34.314,5.3882,3.6705,0.67991
34.587,5.1952,3.5257,0.67745
34.888,5.0025,3.3733,0.67329
35.065,4.889,3.2837,0.67076
35.456,4.6524,3.1075,0.66668
35.698,4.5058,3.0043,0.66554
35.874,4.4012,2.9292,0.66448
36.229,4.2062,2.7792,0.65938
36.466,4.0713,2.6958,0.66147
36.84,3.8872,2.5881,0.66812
36.945,3.8555,2.5629,0.66737
37.424,3.7535,2.4659,0.66043
37.559,3.7737,2.465,0.65706
37.947,3.9296,2.5092,0.64324
38.054,3.9133,2.4898,0.64145
39.068,4.0411,2.4953,0.62421
39.207,4.0528,2.4975,0.62295
39.582,4.2267,2.579,0.61719
39.857,4.2948,2.5843,0.6058
40.142,4.3399,2.5785,0.59568
40.384,4.3311,2.5547,0.59007
40.662,4.2882,2.5129,0.58548
40.786,4.2665,2.4892,0.58303
41.204,4.1662,2.4122,0.57839
41.336,4.1322,2.3917,0.5782
41.742,4.0261,2.3199,0.57562
41.897,3.988,2.2911,0.57388
42.156,3.9238,2.2428,0.57084
42.414,3.8522,2.1921,0.56843
42.702,3.7851,2.1374,0.5639
42.89,3.7362,2.1077,0.56347
43.355,3.6407,2.0347,0.55823
43.592,3.5899,2.0019,0.55717
43.779,3.5506,1.9778,0.55668
44.164,3.4796,1.9309,0.55475
44.388,3.4413,1.907,0.55394
44.82,3.3701,1.8566,0.55077
44.903,3.3547,1.8473,0.55061
45.185,3.2986,1.8151,0.55028
45.495,3.2497,1.7773,0.54685
45.992,3.17,1.7273,0.54464
45.93,3.1806,1.7342,0.545
46.361,3.1033,1.6862,0.54295
46.566,3.0645,1.664,0.54245
46.857,3.0137,1.6248,0.53838
47.055,2.9869,1.6055,0.53691
47.264,2.952,1.5784,0.53409
47.553,2.9037,1.5449,0.53139
47.721,2.8799,1.5292,0.53036
48.034,2.8291,1.4939,0.52741
48.321,2.7963,1.4668,0.52417
48.476,2.7749,1.45,0.52224
48.772,2.7367,1.426,0.52082
48.991,2.7106,1.408,0.51913
49.238,2.6743,1.3831,0.51694
49.523,2.6446,1.3607,0.51426
49.692,2.6276,1.3456,0.51187
50.035,2.5901,1.3258,0.5116
50.182,2.5712,1.3119,0.50987
50.557,2.5282,1.283,0.50712
50.706,2.5104,1.2732,0.50674
51.077,2.4599,1.2423,0.5046
51.316,2.4321,1.2224,0.50224
51.583,2.3974,1.1995,0.49993
51.748,2.376,1.1855,0.49862
52.096,2.3291,1.1568,0.4964
52.32,2.3028,1.1422,0.49584
52.461,2.2855,1.1316,0.49501
52.823,2.2343,1.1036,0.49368
53.03,2.2056,1.0861,0.49218
53.28,2.1735,1.0677,0.49108
53.568,2.1407,1.0538,0.49215
53.763,2.1159,1.0378,0.49028
54.042,2.0834,1.0185,0.4887
54.211,2.0661,1.0091,0.48828
54.504,2.0314,0.99151,0.48799
54.812,1.997,0.97321,0.48714
55.05,1.9687,0.95945,0.48724
55.276,1.9412,0.94848,0.48861
55.676,1.8913,0.91986,0.48645
55.855,1.8675,0.90684,0.48557
56.193,1.8275,0.88797,0.48593
56.286,1.8144,0.8828,0.48668
56.733,1.7537,0.85077,0.48526
56.867,1.7366,0.84446,0.48649
57.26,1.6837,0.8168,0.48494
57.441,1.6597,0.80373,0.48408
57.771,1.6134,0.7818,0.48444
58.027,1.576,0.76348,0.48393
58.277,1.5401,0.74372,0.4824
58.54,1.5052,0.72278,0.47987
